power,noise,ber,q_factor,wavelength,distance,label
-13.981718443276753,0.009800893462753738,6.975068609747381e-11,14.918865134732927,1552,35.059455419499116,0
-11.458441528616527,0.0053596317106479755,4.2271796908223235e-11,17.27947259010802,1540,38.682254670339724,0
-14.870548922305861,0.030141272479911194,2.519675944086146e-07,12.218190064228972,1552,71.78023391498967,1
-23.16685381069673,0.1198465281021975,0.0004162695745154247,5.732368306497243,1555,99.42539632524935,2
-13.872815421975009,0.033517913873108,5.964393866010059e-08,9.198898694220237,1540,55.57039144964408,1
-17.88667339465495,0.047680319590950905,4.1760874827091513e-07,11.47077686562779,1550,49.098324418916825,1
-13.81412714827778,0.0404395491213909,1.6285889757199355e-07,9.834358532411942,1555,53.038061758177406,1
-15.270029322885126,0.022268047666840374,3.7393245157177086e-08,8.440464253559433,1540,67.0706908676239,1
-12.837159628715858,0.01411543855246412,6.3876691910019e-11,14.831374885678596,1552,11.782619550817419,0
-24.03252506247056,0.11409156271123756,2.5965771554615214e-05,3.7156025723019663,1550,117.07394172650704,2
-10.214703661943883,0.019289729570580755,6.54089693450795e-10,16.897141232505646,1552,8.67255624463612,0
-24.67408280823063,0.0577417519668272,3.9549173547822e-05,3.1862809497051723,1540,84.98418278477791,2
-13.35687969780404,0.011686681213392055,4.2727673634087423e-10,17.55727503971328,1550,13.652212580860688,0
-15.124437165303192,0.042145756919734975,9.555171189850658e-08,8.144289566680623,1540,51.139298241711565,1
-9.983477132409831,0.018459477436246076,1.0875184441833663e-10,15.822006780876881,1555,15.09035315939897,0
-19.115999138007762,0.10879358324112497,5.117917279231497e-06,4.591425765582342,1540,88.02968732662973,2
-23.52917619637349,0.0698863042223165,0.0005772180079614185,5.135719625549892,1540,115.92615558503037,2
-22.474397247185816,0.06281864218491624,0.00048243174139951753,3.740439190200801,1552,86.71525713507611,2
-16.334099693395686,0.03160145981816492,1.3868819687538333e-07,10.399583991487862,1555,73.35633495698076,1
-13.26273736646858,0.009922891304139673,7.379700427031904e-11,14.354401718718469,1555,7.188977941407895,0
-13.06594659100622,0.021347284895261946,1.9984429251174974e-08,10.117620461505112,1552,73.81152432080518,1
-11.806723093248127,0.010900292581216428,4.93289136906299e-10,15.707621282545215,1552,36.508220010123836,0
-14.354328080430573,0.039081290163137994,9.910510898525946e-07,10.28155067219328,1555,56.278887796443655,1
-9.35286652763443,0.007478059090067752,6.022054836870024e-11,16.919441235393915,1555,36.76638508947942,0
-9.654125712984563,0.012950936825775985,8.629009059614577e-11,15.642836981566665,1550,11.849942403487717,0
-10.62906525585193,0.014499033760062334,1.5812205588723485e-11,16.416695752690366,1540,14.205904250997442,0
